Condition;Recording;Question;Reponse;Reponse_juste;Frequence mouvements du regard;Time on timer;Time on bonne reponse;Frequence mouvements du regard_9;Looked_Timer;Looked_Bonne_reponse;Time on enonce;Time on reponses;Proportion parcours linéaire;Proportion passage enonce reponse
c1;r1;q1;12;0;0.4389454930374933;0.0;0.18835616438356165;0.4389454930374933;0.0;2.5;0.41304347826086957;0.13043478260869565;0.08695652173913043;0.2608695652173913
c1;r1;q2;8;1;3.6482762182890394;0.0;0.6344605475040258;3.6482762182890394;0.0;3.5;0.4473684210526316;0.15789473684210525;0.10526315789473684;0.21052631578947367
c1;r1;q3;10;1;4.4716878923949785;0.0;0.8345070422535211;4.4716878923949785;0.0;3.5;0.71875;0.09375;0.234375;0.15625
c1;r1;q4;13;0;3.799936859188701;0.0;0.43810952738184544;3.799936859188701;0.0;5.0;0.5882352941176471;0.07058823529411765;0.17647058823529413;0.18823529411764706
c1;r1;q5;12;1;4.644950319675803;0.0;0.7521514629948365;4.644950319675803;0.0;3.0;0.7111111111111111;0.13333333333333333;0.3111111111111111;0.06666666666666667
c1;r1;q6;10;0;4.045724704994829;0.0;0.14275766016713093;4.045724704994829;0.0;9.0;0.6226415094339622;0.05660377358490566;0.16981132075471697;0.11320754716981132
c1;r1;q7;15;0;2.1774083452871364;0.0;0.19801980198019806;2.1774083452871364;0.0;4.0;0.611764705882353;0.07058823529411765;0.2;0.16470588235294117
c1;r1;q8;14;1;3.9062533494931535;0.0;0.0033670033670033673;3.9062533494931535;0.0;4.5;0.625;0.15;0.225;0.15
c1;r1;q9;14;0;3.5859112878881203;0.0;0.007685738684884714;3.5859112878881203;0.0;16.0;0.4647887323943662;0.08450704225352113;0.23943661971830985;0.0
c1;r1;q10;12;0;3.7154315533767766;0.0;0.08061420345489444;3.7154315533767766;0.0;3.0;0.46875;0.09375;0.140625;0.296875
c1;r3;q1;12;0;0.37007823985978106;0.0;0.2884333821376281;0.37007823985978106;0.0;3.5;0.5161290322580645;0.1935483870967742;0.1935483870967742;0.1935483870967742
c1;r3;q2;8;1;3.795024952289061;0.0;0.29615384615384616;3.795024952289061;0.0;4.5;0.36363636363636365;0.18181818181818182;0.09090909090909091;0.2727272727272727
c1;r3;q3;10;1;4.091206825600176;0.0;0.6666666666666666;4.091206825600176;0.0;3.5;0.6206896551724138;0.20689655172413793;0.13793103448275862;0.10344827586206896
c1;r3;q4;14;1;2.8223792092257933;0.0;0.954001839926403;2.8223792092257933;0.0;0.5;0.9615384615384616;0.11538461538461539;0.34615384615384615;0.019230769230769232
c1;r3;q5;12;1;3.5263469186051033;0.0;0.8947368421052632;3.5263469186051033;0.0;0.5;0.8620689655172413;0.20689655172413793;0.41379310344827586;0.06896551724137931
c1;r3;q6;9;0;2.9884720245075367;0.0;0.5293390982087709;2.9884720245075367;0.0;4.0;0.7037037037037037;0.07407407407407407;0.35802469135802467;0.1111111111111111
c1;r3;q7;12;0;2.5487028079710172;0.0;0.7578051087984863;2.5487028079710172;0.0;5.0;0.7111111111111111;0.06666666666666667;0.2777777777777778;0.1111111111111111
c1;r3;q8;12;0;2.4606725470834934;0.0;0.8876961189099918;2.4606725470834934;0.0;1.0;0.86;0.12;0.36;0.08
c1;r3;q9;14;0;3.892467834422813;0.0;0.008527572484366117;3.892467834422813;0.0;21.0;0.5565217391304348;0.05217391304347826;0.2;0.043478260869565216
c1;r3;q10;11;0;2.8306012965128406;0.0;0.4937791601866252;2.8306012965128406;0.0;4.0;0.8278688524590164;0.04918032786885246;0.29508196721311475;0.09016393442622951
c1;r5;q1;12;0;1.6545461691699608;0.0;0.496640826873385;1.6545461691699608;0.0;3.5;0.8318965517241379;0.02586206896551724;0.22413793103448276;0.08189655172413793
c1;r5;q2;8;1;2.8676436851250764;0.0;0.3190416141235813;2.8676436851250764;0.0;4.5;0.358974358974359;0.15384615384615385;0.1794871794871795;0.3333333333333333
c1;r5;q3;10;1;3.016200159393817;0.0;0.8431372549019608;3.016200159393817;0.0;3.0;0.8032786885245902;0.09836065573770492;0.36065573770491804;0.04918032786885246
c1;r5;q4;14;0;3.698406538782761;0.0;0.9165487977369166;3.698406538782761;0.0;2.0;0.917910447761194;0.04477611940298507;0.27611940298507465;0.029850746268656716
c1;r5;q5;14;0;3.2505724988728475;0.0;0.7577117218171621;3.2505724988728475;0.0;2.0;0.8787878787878788;0.030303030303030304;0.29797979797979796;0.0707070707070707
c1;r5;q6;9;0;3.1339603050963944;0.0;0.4195959036811514;3.1339603050963944;0.0;11.0;0.7708333333333334;0.03125;0.265625;0.052083333333333336
c1;r5;q7;13;0;2.771617889098168;0.0;0.8395303326810176;2.771617889098168;0.0;4.0;0.8375;0.025;0.24166666666666667;0.075
c1;r5;q8;15;0;3.350112433495615;0.0;0.4814703223862609;3.350112433495615;0.0;8.0;0.7446808510638298;0.031914893617021274;0.22340425531914893;0.11702127659574468
c1;r5;q9;13;0;4.031305675828691;0.0;0.006191950464396285;4.031305675828691;0.0;19.0;0.6940298507462687;0.04477611940298507;0.21641791044776118;0.014925373134328358
c1;r5;q10;11;0;2.867261300496734;0.0;0.33083700440528635;2.867261300496734;0.0;4.0;0.7909090909090909;0.05454545454545454;0.21818181818181817;0.13636363636363635
c2;r2;q1;15;0;0.3764169164353395;0.17346938775510204;0.6064139941690962;0.3764169164353395;2.0;1.0;0.5952380952380952;0.14285714285714285;0.16666666666666666;0.11904761904761904
